endate,agcode1,line,branch,idate,edate,pcategory,ptype,vuse,brand,body,model,color,transmission,fuel,prem
6/25/19,ID00005,MC,IMECA,7/2/19,7/2/20,Comprehensive,Basic,Private,Hyundai,SUV,2015,Silver,Automatic,Gasoline,957.88
8/14/20,ID00005,MC,IMECA,8/21/20,8/21/21,Comprehensive,Basic,Private,Hyundai,SUV,2015,Silver,Automatic,Gasoline,957.88
9/13/19,ID00006,MC,IMECA,9/20/19,9/20/20,Comprehensive,Premium,Private,Ford,Pickup,2013,Blue,Manual ,Diesel,1211.25
9/30/20,ID00007,MC,IMECA,10/6/20,10/6/21,Comprehensive,Premium,Private,Ford,Pickup,2013,Blue,Manual ,Diesel,1211.25
10/18/21,ID00007,MC,IMECA,10/23/21,10/23/22,Comprehensive,Premium,Private,Ford,Pickup,2013,Blue,Manual ,Diesel,1211.25
6/23/15,ID00008,MC,BTARLA,6/30/15,6/30/16,CTPL,Premium,Private,Kia,Sedan,2015,Yellow,Automatic,Gasoline,447.01
7/10/16,ID00008,MC,BTARLA,7/17/16,7/17/17,CTPL,Premium,Private,Kia,Sedan,2015,Yellow,Automatic,Gasoline,447.01
7/28/17,ID00008,MC,BTARLA,8/4/17,8/4/18,CTPL,Premium,Private,Kia,Sedan,2015,Yellow,Automatic,Gasoline,447.01
8/15/18,ID00009,MC,BTARLA,8/22/18,8/22/19,Comprehensive,Basic,Private,Kia,Sedan,2015,Yellow,Automatic,Gasoline,447.01
9/2/19,ID00009,MC,BTARLA,9/9/19,9/9/20,Comprehensive,Basic,Private,Kia,Sedan,2015,Yellow,Automatic,Gasoline,447.01
9/16/14,ID00010,MC,IMECA,9/23/14,9/23/15,Comprehensive,Basic,Commercial,Toyota,Van,2013,Silver,Manual ,Diesel,848.75
10/5/15,ID00010,MC,IMECA,10/12/15,10/12/16,Comprehensive,Basic,Commercial,Toyota,Van,2013,Silver,Manual ,Diesel,848.75
10/23/16,ID00010,MC,IMECA,10/30/16,10/30/17,Comprehensive,Basic,Commercial,Toyota,Van,2013,Silver,Manual ,Diesel,848.75
11/11/17,ID00010,MC,IMECA,11/18/17,11/18/18,CTPL,Premium,Commercial,Toyota,Van,2013,Silver,Manual ,Diesel,848.75
11/30/18,ID00010,MC,IMECA,12/7/18,12/7/19,CTPL,Premium,Commercial,Toyota,Van,2013,Silver,Manual ,Diesel,848.75
12/19/19,ID00010,MC,IMECA,12/26/19,12/26/20,Comprehensive,Basic,Commercial,Toyota,Van,2013,Silver,Manual ,Diesel,848.75
1/6/21,ID00010,MC,IMECA,1/13/21,1/13/22,CTPL,Premium,Commercial,Toyota,Van,2013,Silver,Manual ,Diesel,848.75
2/7/19,ID00011,MC,IMECA,2/14/19,2/14/20,CTPL,Premium,Private,Mazda,Sedan,2019,White,Automatic,Gasoline,447.01
2/20/20,ID00011,MC,IMECA,2/27/20,2/27/21,CTPL,Premium,Private,Mazda,Sedan,2019,White,Automatic,Gasoline,447.01
3/4/21,ID00011,MC,IMECA,3/11/21,3/11/22,CTPL,Premium,Private,Mazda,Sedan,2019,White,Automatic,Gasoline,447.01
2/7/19,ID00012,MC,BTARLA,2/14/19,2/14/20,Comprehensive,Premium,Private,Audi,SUV,2018,Black,Automatic,Diesel,957.88
2/20/20,ID00012,MC,BTARLA,2/27/20,2/27/21,Comprehensive,Premium,Private,Audi,SUV,2018,Black,Automatic,Diesel,957.88
3/4/21,ID00012,MC,BTARLA,3/11/21,3/11/22,Comprehensive,Premium,Private,Audi,SUV,2018,Black,Automatic,Diesel,957.88
10/16/17,ID00013,MC,BTARLA,10/23/17,10/23/18,Comprehensive,Basic,Private,Honda,Sedan,2017,Black,Automatic,Gasoline,447.01
10/30/18,ID00013,MC,BTARLA,11/6/18,11/6/19,Comprehensive,Basic,Private,Honda,Sedan,2017,Black,Automatic,Gasoline,447.01
11/13/19,ID00013,MC,BTARLA,11/20/19,11/20/20,Comprehensive,Basic,Private,Honda,Sedan,2017,Black,Automatic,Gasoline,447.01
11/26/20,ID00013,MC,BTARLA,12/3/20,12/3/21,Comprehensive,Basic,Private,Honda,Sedan,2017,Black,Automatic,Gasoline,447.01
12/10/21,ID00013,MC,BTARLA,12/17/21,12/17/22,Comprehensive,Basic,Private,Honda,Sedan,2017,Black,Automatic,Gasoline,447.01
1/7/14,ID00014,MC,IMECA,1/14/14,1/14/15,CTPL,Premium,Commercial,Nissan,Van,2012,Silver,Manual ,Diesel,848.75
1/23/15,ID00014,MC,IMECA,1/30/15,1/30/16,CTPL,Premium,Commercial,Nissan,Van,2012,Silver,Manual ,Diesel,848.75
2/8/16,ID00014,MC,IMECA,2/15/16,2/15/17,CTPL,Premium,Commercial,Nissan,Van,2012,Silver,Manual ,Diesel,848.75
2/23/17,ID00014,MC,IMECA,3/2/17,3/2/18,CTPL,Premium,Commercial,Nissan,Van,2012,Silver,Manual ,Diesel,848.75
3/11/18,ID00014,MC,IMECA,3/18/18,3/18/19,CTPL,Premium,Commercial,Nissan,Van,2012,Silver,Manual ,Diesel,848.75
3/27/19,ID00014,MC,IMECA,4/3/19,4/3/20,CTPL,Premium,Commercial,Nissan,Van,2012,Silver,Manual ,Diesel,848.75
4/11/20,ID00014,MC,IMECA,4/18/20,4/18/21,CTPL,Premium,Commercial,Nissan,Van,2012,Silver,Manual ,Diesel,848.75
4/27/21,ID00014,MC,IMECA,5/4/21,3/18/19,CTPL,Premium,Commercial,Nissan,Van,2012,Silver,Manual ,Diesel,848.75
10/17/16,ID00015,MC,BTARLA,10/24/16,10/24/17,CTPL,Basic,Private,Suzuki,Hatchback,2013,Red,Automatic,Gasoline,486.92
10/31/17,ID00015,MC,BTARLA,11/5/17,11/5/18,CTPL,Basic,Private,Suzuki,Hatchback,2013,Red,Automatic,Gasoline,486.92
11/14/18,ID00015,MC,BTARLA,11/17/18,11/17/19,CTPL,Basic,Private,Suzuki,Hatchback,2013,Red,Automatic,Gasoline,486.92
11/28/19,ID00015,MC,BTARLA,11/29/19,11/29/20,Comprehensive,Basic,Private,Mazda,Sedan,2019,White,Manual ,Gasoline,447.01
12/11/20,ID00015,MC,BTARLA,12/10/20,12/10/21,Comprehensive,Basic,Private,Mazda,Sedan,2019,White,Manual ,Gasoline,447.01
12/25/21,ID00015,MC,BTARLA,12/22/21,12/22/22,Comprehensive,Basic,Private,Mazda,Sedan,2019,White,Manual ,Gasoline,447.01
2/17/18,ID00016,MC,BTARLA,2/24/18,2/24/19,Comprehensive,Basic,Private,Honda,SUV,2017,Silver,Manual ,Diesel,957.88
6/3/18,ID00016,MC,BTARLA,6/10/18,6/10/19,CTPL,Premium,Private,Hyundai,Sedan,2019,Black,Automatic,Gasoline,447.01
3/2/19,ID00016,MC,BTARLA,3/9/19,3/9/20,Comprehensive,Basic,Private,Honda,SUV,2017,Silver,Manual ,Diesel,957.88
6/20/19,ID00016,MC,BTARLA,6/27/19,6/27/20,CTPL,Premium,Private,Hyundai,Sedan,2019,Black,Automatic,Gasoline,447.01
3/14/20,ID00016,MC,BTARLA,3/21/20,3/21/21,Comprehensive,Basic,Private,Honda,SUV,2017,Silver,Manual ,Diesel,957.88
7/6/20,ID00016,MC,BTARLA,7/13/20,7/13/21,CTPL,Premium,Private,Hyundai,Sedan,2019,Black,Automatic,Gasoline,447.01
3/27/21,ID00016,MC,BTARLA,4/3/21,4/3/22,Comprehensive,Basic,Private,Honda,SUV,2017,Silver,Manual ,Diesel,957.88
7/23/21,ID00016,MC,BTARLA,7/30/21,7/30/22,CTPL,Premium,Private,Hyundai,Sedan,2019,Black,Automatic,Gasoline,447.01
8/24/16,ID00017,MC,IMECA,8/31/16,8/31/17,CTPL,Premium,Private,Hyundai,Sedan,2016,Black,Automatic,Gasoline,447.01
9/8/17,ID00017,MC,IMECA,9/15/17,9/15/18,CTPL,Premium,Private,Hyundai,Sedan,2016,Black,Automatic,Gasoline,447.01
9/23/18,ID00017,MC,IMECA,9/30/18,9/30/19,CTPL,Premium,Private,Hyundai,Sedan,2016,Black,Automatic,Gasoline,447.01
10/8/19,ID00017,MC,IMECA,10/15/19,10/15/20,CTPL,Premium,Private,Hyundai,Sedan,2016,Black,Automatic,Gasoline,447.01
10/22/20,ID00017,MC,IMECA,10/29/20,10/29/21,CTPL,Premium,Private,Hyundai,Sedan,2016,Black,Automatic,Gasoline,447.01
11/6/21,ID00017,MC,IMECA,11/13/21,11/13/22,CTPL,Premium,Private,Hyundai,Sedan,2016,Black,Automatic,Gasoline,447.01
1/6/21,ID00018,MC,IMECA,1/15/21,1/15/22,Comprehensive,Premium,Private,Mazda,Sedan,2019,White,Automatic,Gasoline,447.01
12/10/18,ID00019,MC,HOCOC,12/17/18,12/17/19,Comprehensive,Premium,Commercial,Mitsubishi,MPV,2018,Red,Manual,Gasoline,199.55
12/28/19,ID00019,MC,HOCOC,1/6/20,1/6/21,Comprehensive,Premium,Commercial,Mitsubishi,MPV,2018,Red,Manual,Gasoline,199.55
1/14/21,ID00019,MC,HOCOC,1/25/21,1/25/22,Comprehensive,Premium,Commercial,Mitsubishi,MPV,2018,Red,Manual,Gasoline,199.55
5/19/18,ID00020,MC,HOCOC,5/26/18,5/26/19,Comprehensive,Basic,Private,Kia,SUV,2015,White,Automatic,Diesel,957.88
6/7/19,ID00020,MC,HOCOC,6/14/19,6/14/20,Comprehensive,Basic,Private,Kia,SUV,2015,White,Automatic,Diesel,957.88
6/25/20,ID00020,MC,HOCOC,7/2/20,7/2/21,Comprehensive,Basic,Private,Kia,SUV,2015,White,Automatic,Diesel,957.88
7/14/21,ID00020,MC,HOCOC,7/21/21,7/21/22,Comprehensive,Basic,Private,Kia,SUV,2015,White,Automatic,Diesel,957.88
5/25/20,ID00021,MC,HOCOC,5/2/20,5/2/21,CTPL,Basic,Commercial,Honda,Hatchback,2017,Red,Manual,Gasoline,486.92
5/14/21,ID00021,MC,HOCOC,5/21/21,5/21/22,CTPL,Basic,Commercial,Honda,Hatchback,2017,Red,Manual,Gasoline,486.92
3/20/18,ID00022,MC,HOCOC,3/27/18,3/27/19,Comprehensive,Basic,Private,Chevrolet,Sedan,2018,Blue,Automatic,Gasoline,447.01
4/5/19,ID00022,MC,HOCOC,4/12/19,4/12/20,Comprehensive,Basic,Private,Chevrolet,Sedan,2018,Blue,Automatic,Gasoline,447.01
4/20/20,ID00022,MC,HOCOC,4/27/20,4/27/21,Comprehensive,Basic,Private,Chevrolet,Sedan,2018,Blue,Automatic,Gasoline,447.01
5/6/21,ID00022,MC,HOCOC,5/13/21,5/13/22,Comprehensive,Basic,Private,Chevrolet,Sedan,2018,Blue,Automatic,Gasoline,447.01
4/19/18,ID00023,MC,BTARLA,4/26/18,4/26/19,CTPL,Premium,Commercial,Toyota,Van,2015,Black,Manual,Diesel,848.75
5/11/19,ID00023,MC,BTARLA,5/18/19,4/18/20,CTPL,Premium,Commercial,Toyota,Van,2015,Black,Manual,Diesel,848.75
6/1/20,ID00023,MC,BTARLA,6/8/20,4/11/21,CTPL,Premium,Commercial,Toyota,Van,2015,Black,Manual,Diesel,848.75
6/23/21,ID00023,MC,BTARLA,6/30/21,4/4/22,CTPL,Premium,Commercial,Toyota,Van,2015,Black,Manual,Diesel,848.75
4/15/19,ID00024,MC,BTARLA,4/22/19,4/22/20,Comprehensive,Basic,Private,Nissan,Sedan,2019,Silver,Automatic,Gasoline,447.01
5/6/20,ID00024,MC,BTARLA,5/13/20,5/13/21,Comprehensive,Basic,Private,Nissan,Sedan,2019,Silver,Automatic,Gasoline,447.01
5/28/21,ID00024,MC,BTARLA,6/4/21,6/4/22,Comprehensive,Basic,Private,Nissan,Sedan,2019,Silver,Automatic,Gasoline,447.01
8/16/14,ID00025,MC,IMECA,8/23/14,8/23/15,CTPL,Premium,Private,Isuzu,SUV,2012,White,Manual,Diesel,957.88
9/5/15,ID00025,MC,IMECA,9/12/15,9/12/16,CTPL,Premium,Private,Isuzu,SUV,2012,White,Manual,Diesel,957.88
9/24/16,ID00025,MC,IMECA,10/1/16,10/1/17,CTPL,Premium,Private,Isuzu,SUV,2012,White,Manual,Diesel,957.88
10/14/17,ID00025,MC,IMECA,10/21/17,10/21/18,CTPL,Premium,Private,Isuzu,SUV,2012,White,Manual,Diesel,957.88
11/3/18,ID00025,MC,IMECA,11/10/18,11/10/19,CTPL,Premium,Private,Isuzu,SUV,2012,White,Manual,Diesel,957.88
10/4/16,ID00026,MC,BTARLA,10/11/16,10/11/17,Comprehensive,Premium,Private,Honda,Sedan,2015,Blue,Automatic,Gasoline,447.01
10/21/17,ID00026,MC,BTARLA,10/28/17,10/28/18,Comprehensive,Premium,Private,Honda,Sedan,2015,Blue,Automatic,Gasoline,447.01
11/7/18,ID00026,MC,BTARLA,11/14/18,11/14/19,Comprehensive,Premium,Private,Honda,Sedan,2015,Blue,Automatic,Gasoline,447.01
11/24/19,ID00026,MC,BTARLA,12/1/19,12/1/20,Comprehensive,Premium,Private,Honda,Sedan,2015,Blue,Automatic,Gasoline,447.01
12/10/20,ID00026,MC,BTARLA,12/17/20,12/17/21,Comprehensive,Premium,Private,Honda,Sedan,2015,Blue,Automatic,Gasoline,447.01
7/18/18,ID00027,MC,BTARLA,7/25/18,7/25/19,Comprehensive,Basic,Private,Kia,SUV,2016,Red,Automatic,Diesel,957.88
8/3/19,ID00027,MC,BTARLA,8/10/19,8/10/20,Comprehensive,Basic,Private,Kia,SUV,2016,Red,Automatic,Diesel,957.88
8/18/20,ID00027,MC,BTARLA,8/25/20,8/25/21,Comprehensive,Basic,Private,Kia,SUV,2016,Red,Automatic,Diesel,957.88
9/3/21,ID00027,MC,BTARLA,9/10/21,9/10/22,Comprehensive,Basic,Private,Kia,SUV,2016,Red,Automatic,Diesel,957.88
7/28/17,ID00028,MC,BGRN,8/4/17,8/4/18,Comprehensive,Premium,Commercial,Toyota,MPV,2017,Black,Manual,Gasoline,199.55
8/15/18,ID00028,MC,BGRN,8/22/18,8/22/19,Comprehensive,Premium,Commercial,Toyota,MPV,2017,Black,Manual,Gasoline,199.55
9/2/19,ID00028,MC,BGRN,9/9/19,9/8/20,Comprehensive,Premium,Commercial,Toyota,MPV,2017,Black,Manual,Gasoline,199.55
9/19/20,ID00028,MC,BGRN,9/26/20,9/26/21,Comprehensive,Premium,Commercial,Toyota,MPV,2017,Black,Manual,Gasoline,199.55
10/7/21,ID00028,MC,BGRN,10/14/21,10/14/22,Comprehensive,Premium,Commercial,Toyota,MPV,2017,Black,Manual,Gasoline,199.55
9/24/17,ID00029,MC,BGRN,10/1/17,10/1/18,Comprehensive,Premium,Private,Suzuki,MPV,2016,White,Automatic,Gasoline,199.55
10/19/18,ID00029,MC,BGRN,10/26/18,10/26/19,Comprehensive,Premium,Private,Suzuki,MPV,2016,White,Automatic,Gasoline,199.55
11/13/19,ID00029,MC,BGRN,11/20/19,11/20/20,Comprehensive,Premium,Private,Suzuki,MPV,2016,White,Automatic,Gasoline,199.55
12/7/20,ID00029,MC,BGRN,12/14/20,12/14/21,Comprehensive,Premium,Private,Suzuki,MPV,2016,White,Automatic,Gasoline,199.55
4/18/18,ID00030,MC,HOCOC,4/25/18,4/25/19,CTPL,Basic,Private,Chevrolet,Sedan,2017,Red,Manual,Gasoline,447.01
5/2/19,ID00030,MC,HOCOC,5/9/19,5/9/20,CTPL,Basic,Private,Chevrolet,Sedan,2017,Red,Manual,Gasoline,447.01
5/15/20,ID00030,MC,HOCOC,5/22/20,5/24/21,CTPL,Basic,Private,Chevrolet,Sedan,2017,Red,Manual,Gasoline,447.01
5/29/21,ID00030,MC,HOCOC,6/5/21,6/8/22,CTPL,Basic,Private,Chevrolet,Sedan,2017,Red,Manual,Gasoline,447.01
3/12/17,ID00031,MC,BGRN,3/19/17,3/19/18,Comprehensive,Basic,Private,Mazda,Hatchback,2017,Gray,Manual,Gasoline,486.92
3/31/18,ID00031,MC,BGRN,4/7/18,4/7/19,Comprehensive,Basic,Private,Mazda,Hatchback,2017,Gray,Manual,Gasoline,486.92
4/19/19,ID00031,MC,BGRN,4/26/19,4/25/20,Comprehensive,Basic,Private,Mazda,Hatchback,2017,Gray,Manual,Gasoline,486.92
5/7/20,ID00031,MC,BGRN,5/14/20,5/14/21,Comprehensive,Basic,Private,Mazda,Hatchback,2017,Gray,Manual,Gasoline,486.92
5/26/21,ID00031,MC,BGRN,6/2/21,6/2/22,Comprehensive,Basic,Private,Mazda,Hatchback,2017,Gray,Manual,Gasoline,486.92
6/7/12,ID00032,MC,BGRN,6/14/12,6/14/13,Comprehensive,Premium,Private,Ford,SUV,2010,Gray,Automatic,Diesel,957.88
6/29/13,ID00032,MC,BGRN,7/6/13,7/6/14,Comprehensive,Premium,Private,Ford,SUV,2010,Gray,Automatic,Diesel,957.88
7/21/14,ID00032,MC,BGRN,7/28/14,7/28/15,Comprehensive,Premium,Private,Ford,SUV,2010,Gray,Automatic,Diesel,957.88
8/12/15,ID00032,MC,BGRN,8/19/15,8/19/16,Comprehensive,Premium,Private,Ford,SUV,2010,Gray,Automatic,Diesel,957.88
11/19/18,ID00033,MC,HOCOC,11/26/18,11/26/19,Comprehensive,Basic,Commercial,Isuzu,Pickup,2017,White,Automatic,Diesel,1211.25
12/7/19,ID00033,MC,HOCOC,12/14/19,12/14/20,Comprehensive,Basic,Commercial,Isuzu,Pickup,2017,White,Automatic,Diesel,1211.25
12/24/20,ID00033,MC,HOCOC,12/31/20,1/2/22,Comprehensive,Basic,Commercial,Isuzu,Pickup,2017,White,Automatic,Diesel,1211.25
4/15/20,ID00034,MC,HOCOC,4/22/20,4/22/21,CTPL,Premium,Private,MG,Sedan,2020,Black,Automatic,Gasoline,447.01
5/1/21,ID00034,MC,HOCOC,5/8/21,5/8/22,CTPL,Premium,Private,MG,Sedan,2020,Black,Automatic,Gasoline,447.01
5/11/19,ID00035,MC,BGRN,5/18/19,5/18/20,Comprehensive,Premium,Private,Audi,SUV,2017,Silver,Automatic,Diesel,957.88
6/1/20,ID00035,MC,BGRN,6/8/20,6/8/21,Comprehensive,Premium,Private,Audi,SUV,2017,Silver,Automatic,Diesel,957.88
6/22/21,ID00035,MC,BGRN,6/29/21,6/29/22,Comprehensive,Premium,Private,Audi,SUV,2017,Silver,Automatic,Diesel,957.88
7/27/12,ID00036,MC,BTARLA,8/3/12,8/3/13,Comprehensive,Basic,Private ,Hyundai,MPV,2010,Red,Manual,Gasoline,199.55
8/18/13,ID00036,MC,BTARLA,8/25/13,8/25/14,Comprehensive,Basic,Private ,Hyundai,MPV,2010,Red,Manual,Gasoline,199.55
9/9/14,ID00036,MC,BTARLA,9/16/14,9/16/15,Comprehensive,Basic,Private ,Hyundai,MPV,2010,Red,Manual,Gasoline,199.55
10/1/15,ID00036,MC,BTARLA,10/8/15,10/8/16,Comprehensive,Basic,Private ,Hyundai,MPV,2010,Red,Manual,Gasoline,199.55
9/15/12,ID00037,MC,BTARLA,9/22/12,9/22/13,CTPL,Premium,Commercial,Nissan,Van,2012,White,Manual,Diesel,848.75
10/7/13,ID00037,MC,BTARLA,10/14/13,10/14/14,CTPL,Premium,Commercial,Nissan,Van,2012,White,Manual,Diesel,848.75
10/29/14,ID00037,MC,BTARLA,11/5/14,11/5/15,CTPL,Premium,Commercial,Nissan,Van,2012,White,Manual,Diesel,848.75
11/20/15,ID00037,MC,BTARLA,11/27/15,11/27/16,CTPL,Premium,Commercial,Nissan,Van,2012,White,Manual,Diesel,848.75
12/11/16,ID00037,MC,BTARLA,12/18/16,12/18/17,CTPL,Premium,Commercial,Nissan,Van,2012,White,Manual,Diesel,848.75
5/30/15,ID00038,MC,BGRN,6/6/15,6/5/16,Comprehensive,Basic,Private,Mitsubishi,MPV,2015,Gray,Automatic,Gasoline,199.55
6/20/16,ID00038,MC,BGRN,6/27/16,6/27/17,Comprehensive,Basic,Private,Mitsubishi,MPV,2015,Gray,Automatic,Gasoline,199.55
7/12/17,ID00038,MC,BGRN,7/19/17,7/20/18,Comprehensive,Basic,Private,Mitsubishi,MPV,2015,Gray,Automatic,Gasoline,199.55
8/3/18,ID00038,MC,BGRN,8/10/18,8/10/19,Comprehensive,Basic,Private,Mitsubishi,MPV,2015,Gray,Automatic,Gasoline,199.55
8/25/19,ID00038,MC,BGRN,9/1/19,8/31/20,Comprehensive,Basic,Private,Mitsubishi,MPV,2015,Gray,Automatic,Gasoline,199.55
2/10/18,ID00039,MC,HOCOC,2/17/18,2/17/19,CTPL,Basic,Commercial ,Kia ,Hatchback,2016,Yellow,Automatic,Gasoline,486.92
3/4/19,ID00039,MC,HOCOC,3/11/19,3/11/20,CTPL,Basic,Commercial ,Kia ,Hatchback,2016,Yellow,Automatic,Gasoline,486.92
3/25/20,ID00039,MC,HOCOC,4/1/20,4/1/21,CTPL,Basic,Commercial ,Kia ,Hatchback,2016,Yellow,Automatic,Gasoline,486.92
4/16/21,ID00039,MC,HOCOC,4/23/21,4/23/22,CTPL,Basic,Commercial ,Kia ,Hatchback,2016,Yellow,Automatic,Gasoline,486.92
10/3/19,ID00040,MC,HOCOC,10/10/19,10/9/20,Comprehensive,Premium,Private,Mitsubishi,MPV,2017,Black,Manual,Diesel,199.55
10/24/20,ID00040,MC,HOCOC,10/31/20,11/1/21,Comprehensive,Premium,Private,Mitsubishi,MPV,2017,Black,Manual,Diesel,199.55
11/15/21,ID00040,MC,HOCOC,11/22/21,11/22/22,Comprehensive,Premium,Private,Mitsubishi,MPV,2017,Black,Manual,Diesel,199.55
10/4/17,ID00041,MC,BTARLA,10/11/17,10/11/18,CTPL,Premium,Commercial,Suzuki,MPV,2017,Yellow,Manual,Diesel,199.55
10/26/18,ID00041,MC,BTARLA,11/2/18,11/2/19,CTPL,Premium,Commercial,Suzuki,MPV,2017,Yellow,Manual,Diesel,199.55
11/17/19,ID00041,MC,BTARLA,11/24/19,11/24/20,CTPL,Premium,Commercial,Suzuki,MPV,2017,Yellow,Manual,Diesel,199.55
4/22/18,ID00042,MC,BGRN,4/29/18,4/29/19,Comprehensive,Premium,Private,Audi,Sedan,2018,Black,Automatic,Gasoline,447.01
5/14/19,ID00042,MC,BGRN,5/21/19,5/21/20,Comprehensive,Premium,Private,Audi,Sedan,2018,Black,Automatic,Gasoline,447.01
6/4/20,ID00042,MC,BGRN,6/11/20,6/11/21,Comprehensive,Premium,Private,Audi,Sedan,2018,Black,Automatic,Gasoline,447.01
6/26/21,ID00042,MC,BGRN,7/3/21,7/3/22,Comprehensive,Premium,Private,Audi,Sedan,2018,Black,Automatic,Gasoline,447.01
8/18/18,ID00043,MC,BTARLA,8/25/18,8/25/19,CTPL,Basic,Commercial,Mitsubishi,MPV,2016,Gray,Manual,Diesel,199.55
9/9/19,ID00043,MC,BTARLA,9/16/19,9/16/20,CTPL,Basic,Commercial,Mitsubishi,MPV,2016,Gray,Manual,Diesel,199.55
9/30/20,ID00043,MC,BTARLA,10/7/20,10/7/21,CTPL,Basic,Commercial,Mitsubishi,MPV,2016,Gray,Manual,Diesel,199.55
10/22/21,ID00043,MC,BTARLA,10/29/21,10/29/22,CTPL,Basic,Commercial,Mitsubishi,MPV,2016,Gray,Manual,Diesel,199.55
4/30/19,ID00044,MC,HOCOC,5/7/19,5/7/20,Comprehensive,Premium,Private,Ford,SUV,2018,Blue,Automatic,Diesel,957.88
5/21/20,ID00044,MC,HOCOC,5/28/20,5/28/21,Comprehensive,Premium,Private,Ford,SUV,2018,Blue,Automatic,Diesel,957.88
6/12/21,ID00044,MC,HOCOC,6/19/21,6/19/22,Comprehensive,Premium,Private,Ford,SUV,2018,Blue,Automatic,Diesel,957.88
6/16/20,ID00045,MC,HOCOC,6/23/20,6/23/21,Comprehensive,Basic,Private,Ford,SUV,2018,Blue,Automatic,Diesel,957.88
