custid,policystartd,policyendd,gender,age,ptype,vclass,vcolor,vmaker,product
ID_0G2PBAI,11/14/10,11/13/11,Female,38,1,Saloon,,Hyundai,CarSafe
ID_0G53YNR,5/7/10,5/5/11,Male,47,1,Saloon,,TOYOTA,Car Classic
ID_0G5JBV3,12/24/10,12/23/11,Female,52,1,Saloon,,TOYOTA,CarSafe
ID_0G85YVU,6/14/10,6/13/11,Female,60,1,Saloon,,TOYOTA,Car Classic
ID_0GHLS5X,12/3/10,12/2/11,Male,45,2,,White,BMW,Customized Motor
ID_0GIIW66,1/26/10,1/25/11,Female,45,1,Saloon,,TOYOTA,CarSafe
ID_0GJ23TT,10/2/10,9/30/11,Male,39,1,,,,CarSafe
ID_0GNVQFF,11/14/10,4/14/11,Male,40,2,Saloon,Wine,Pontiac,Car Classic
ID_0GO0K5A,1/10/10,1/9/11,Male,51,1,Saloon,Red,Hyundai,Car Classic
ID_0GR2QRL,4/19/10,4/18/11,Male,48,1,,,Lexus,Customized Motor
ID_0GVDM31,1/11/10,1/10/11,Male,58,3,Saloon,Silver,TOYOTA,Car Classic
ID_0GVEZFQ,10/23/10,10/22/11,Male,39,2,,,Honda,Car Classic
ID_0GVFN13,9/13/10,9/12/11,Female,44,1,,,,CarSafe
ID_0H49SVS,2/25/10,2/24/11,Male,43,1,Saloon,Brown,TOYOTA,Car Classic
ID_0HK4TFC,6/11/10,3/9/11,Female,36,1,Saloon,,Mercedes,Car Classic
ID_0HO82AC,7/4/10,7/3/11,Male,53,1,Saloon,,TOYOTA,CarSafe
ID_0HOD99L,12/12/10,12/11/11,Female,14,1,,,,CarSafe
ID_0HWAFTI,8/14/10,8/13/11,Male,40,1,,,,CarSafe
ID_0I6NUTV,2/11/10,1/30/11,Male,44,1,,Red & Blue,Iveco,CVTP
ID_0I7MKL8,10/17/10,10/16/11,Female,34,1,,,,CarSafe
ID_0I7WSXN,1/14/10,1/13/11,Male,41,1,Saloon,,TOYOTA,CarSafe
ID_0IFDCEJ,12/7/10,8/10/11,Female,42,2,,,Mercedes,Car Classic
ID_0IGLH7L,1/12/10,1/11/11,Male,40,1,Saloon,Gold,TOYOTA,Car Classic
ID_0IKQ9XJ,7/20/10,7/19/11,Male,43,2,,Blue,TOYOTA,Car Classic
ID_0ILENCN,5/21/10,5/20/11,Male,55,3,JEEP,Black,TOYOTA,Customized Motor
ID_0ILP3VL,9/13/10,9/12/11,Male,47,4,Saloon,Black,Nissan,Car Classic
ID_0INLN8R,6/7/10,6/6/11,Male,37,3,Saloon,,TOYOTA,CarSafe
ID_0IRFUYB,6/6/10,6/5/11,Female,37,1,JEEP,Black,TOYOTA,Car Classic
ID_0JHDAXS,12/5/10,12/4/11,Male,31,1,,,,CarSafe
ID_0JPMW2P,12/23/10,4/21/11,Male,38,1,,,,Car Classic
ID_0JXGM6N,11/22/10,11/21/11,Male,40,1,,,,CarSafe
ID_0K1BO9A,9/20/10,9/19/11,Male,62,1,Saloon,,TOYOTA,CarSafe
ID_0K1VPIE,3/4/10,3/3/11,Male,41,1,Saloon,Blue,TOYOTA,Car Classic
ID_0K7QW76,4/4/10,4/2/11,Male,32,1,Saloon,,Honda,Car Classic
ID_0KCF3AO,4/30/10,4/29/11,Male,49,1,JEEP,,TOYOTA,Car Classic
ID_0KDYXJL,6/28/10,6/27/11,Female,44,1,Saloon,,TOYOTA,CarSafe
ID_0KED35N,9/12/10,9/11/11,Female,25,1,,,,Car Classic
ID_0KG1GAY,10/29/10,10/28/11,Male,31,1,,,,Car Classic
ID_0KN7C3J,3/5/10,3/4/11,Male,61,1,Saloon,,Infiniti,CarSafe
ID_0KVEKCF,9/9/10,9/8/11,Female,34,1,Saloon,Red,TOYOTA,Car Classic
ID_0KX531O,11/30/10,11/29/11,Female,40,1,Saloon,Black,TOYOTA,Car Classic
ID_0KZ4T8I,9/24/10,9/23/11,Male,28,1,,,,CarSafe
ID_0L2GHKC,8/1/10,7/31/11,Male,50,1,Saloon,,TOYOTA,CarSafe
ID_0L4IT7F,6/20/10,6/19/11,Male,62,2,JEEP,Black,Honda,Car Classic
ID_0L92127,3/14/10,3/13/11,Female,43,1,JEEP,Silver,TOYOTA,Car Plus
ID_0L9531Y,10/7/10,10/6/11,Male,51,1,Saloon,,BMW,Car Classic
ID_0LQA24Z,11/29/10,11/28/11,Male,53,1,JEEP,,Ford,CarSafe
ID_0LQJSMC,12/13/10,12/12/11,Male,33,1,Saloon,Gold,Lexus,Car Classic
ID_0LX75FI,8/9/10,8/8/11,Female,50,1,Saloon,Grey,TOYOTA,Car Classic
ID_0M2HTZ9,4/4/10,4/3/11,Male,37,1,Saloon,,Lexus,Car Classic
ID_0M4JBB4,9/13/10,9/12/11,Female,41,1,Saloon,Red,Renault,Car Classic
ID_0M86A7W,10/25/10,6/19/11,Male,31,1,,,,Car Classic
ID_0MG4G6P,1/8/10,1/7/11,Male,37,1,Saloon,As Attached,Hyundai,Car Classic
ID_0MH3UFI,8/6/10,8/5/11,Male,36,1,Saloon,White,TOYOTA,Car Classic
ID_0MHS52N,5/23/10,5/21/11,Male,51,1,JEEP,,Ford,CarSafe
ID_0MJ9TSG,3/14/10,3/13/11,Male,40,1,Saloon,,Honda,CarSafe
ID_0MJUX0Q,4/30/10,4/29/11,Male,40,1,Saloon,,Honda,CarSafe
ID_0MKSPPQ,3/4/10,3/3/11,Female,43,2,,,Volkswagen,Car Classic
ID_0MM2LNR,2/13/10,1/13/11,Male,72,2,,,TOYOTA,Car Classic
ID_0MRR0OX,4/12/10,4/11/11,Male,45,1,Saloon,Black,Honda,CarSafe
ID_0MSQ5JJ,12/13/10,12/12/11,Male,33,1,Saloon,,Honda,CarSafe
ID_0N28F78,10/2/10,10/1/11,Male,32,1,,,,CarSafe
ID_0N2X552,4/15/10,1/3/11,Female,33,1,Saloon,Green,Honda,Car Classic
ID_0N7V9K3,9/24/10,9/19/11,Male,52,1,,,,Car Classic
ID_0NGIBX4,5/16/10,5/15/11,Male,42,1,Saloon,,TOYOTA,CarSafe
ID_0NIL8EF,2/8/10,2/7/11,Male,42,1,Saloon,,TOYOTA,CarSafe
ID_0NJ07AU,11/7/10,11/6/11,Male,49,2,Saloon,,Hyundai,CarSafe
ID_0NXMWEE,2/21/10,2/20/11,Male,30,1,Saloon,Silver,TOYOTA,Car Classic
ID_0O545WK,1/2/10,1/1/11,Female,82,1,Saloon,,Hyundai,CarSafe
ID_0OBXCP6,3/28/10,3/27/11,Male,57,1,JEEP,,Hyundai,CarSafe
ID_0OH05TQ,3/20/10,3/19/11,Male,39,1,JEEP,Wine,TOYOTA,Car Classic
ID_0P861G4,2/4/10,2/3/11,Entity,18,1,,Black,Hyundai,Customized Motor
ID_0PKTK51,6/29/10,6/28/11,Male,69,1,Saloon,,TOYOTA,CarSafe
ID_0PL8HXU,12/24/10,3/25/11,Male,41,1,JEEP,Grey,TOYOTA,Car Classic
ID_0POUGIK,9/23/10,9/22/11,Male,30,1,,,,CarSafe
ID_0PV6CEI,1/29/10,1/28/11,Female,61,1,JEEP,Black,Ford,Car Classic
ID_0Q2HBJK,8/30/10,8/29/11,Male,41,1,,,,CarSafe
ID_0QEKD0C,6/6/10,6/5/11,Male,42,1,Saloon,Black,TOYOTA,Car Classic
ID_0QL0WDA,1/2/10,1/1/12,Male,51,2,,,,Motor Cycle
ID_0QMIC3O,3/21/10,3/20/11,Male,63,1,Saloon,,TOYOTA,CarSafe
ID_0QW3W1U,12/13/10,12/12/11,Male,49,1,Saloon,Black,TOYOTA,Car Classic
ID_0R1RIW0,6/18/10,6/13/11,Male,52,1,Saloon,Blue,TOYOTA,Car Classic
ID_0R8HDFR,2/22/10,2/21/11,Male,45,2,Saloon,Green,TOYOTA,Car Classic
ID_0RB8SME,9/30/10,9/29/11,Male,43,3,,,Nissan,Car Plus
ID_0RBLV4O,9/13/10,8/5/11,Male,44,1,,,Ford,Customized Motor
ID_0RD9CCE,11/21/10,11/20/11,Male,39,1,Saloon,,TOYOTA,CarSafe
ID_0RGWQ7R,2/5/10,2/4/11,Male,40,3,,Grey,TOYOTA,Car Classic
ID_0RMQHQW,8/30/10,8/29/11,Male,47,1,,,,CarSafe
ID_0RP78NL,5/13/10,4/10/11,Female,60,1,Saloon,As Attached,TOYOTA,Car Classic
ID_0RXRAUL,11/28/10,11/27/11,Female,56,1,,,,CarSafe
ID_0RYVUR0,11/28/10,3/9/11,Male,34,1,,,,Car Classic
ID_0S4XOMP,11/25/10,11/24/11,Male,46,1,JEEP,,TOYOTA,Car Classic
ID_0SAC9AZ,12/12/10,12/1/11,Male,39,1,Saloon,Blue,TOYOTA,Car Classic
ID_0SG1R6L,2/15/10,2/14/11,Male,40,1,Saloon,,Honda,CarSafe
ID_0SGM7DM,7/5/10,7/4/11,Male,40,1,Saloon,,Honda,CarSafe
ID_0SGPQUY,9/16/10,9/15/11,Male,72,2,,,,CarSafe
ID_0SIGHU6,9/17/10,9/16/11,Male,50,2,,,,Car Classic
ID_0SNXCJ2,8/22/10,8/21/11,Female,28,1,,,,Car Classic
ID_0SR1AZV,1/18/10,1/17/11,Male,40,1,Saloon,,Ford,CarSafe
ID_0SSFMYL,7/24/10,7/23/11,Male,61,1,Mini Bus,Wine,TOYOTA,Car Classic
ID_0STS32D,10/29/10,10/28/11,Male,67,1,JEEP,Red,Kia,Car Classic
ID_0T0PQNR,12/5/10,12/4/11,Female,40,4,Saloon,Black,Honda,Customized Motor
ID_0T7ERJ9,4/2/10,4/1/11,Female,36,2,Saloon,,Honda,CarSafe
ID_0TB0K22,11/6/10,6/26/11,Male,36,1,Saloon,As Attached,TOYOTA,Car Classic
ID_0TCB8GJ,10/11/10,10/10/11,Female,41,1,Saloon,Black,TOYOTA,Car Classic
ID_0TII4PQ,12/30/10,3/29/11,Male,30,1,Saloon,Black,Kia,Car Classic
ID_0TO9PYJ,8/29/10,12/31/10,Entity,20,3,,,,Muuve
ID_0TUBHL1,1/17/10,1/16/11,Male,52,1,Saloon,,TOYOTA,CarSafe
ID_0TXAW5G,9/10/10,9/9/11,,31,1,Saloon,Silver,TOYOTA,Car Plus
ID_0U0OJ4R,12/24/10,12/23/11,Male,40,1,,,,CarSafe
ID_0U2TXZ7,1/3/10,1/2/11,Male,30,1,Saloon,,Lexus,Car Plus
ID_0U3WLAG,10/25/10,10/24/11,Male,27,1,,,,CarSafe
ID_0U4LNUQ,10/30/10,10/29/11,Male,49,1,Saloon,,TOYOTA,Car Classic
ID_0U6YWUD,5/28/10,5/27/11,Male,61,2,Saloon,As Attached,Kia,Car Classic
ID_0U7TIAH,9/3/10,9/2/11,Male,40,1,,,,CarSafe
ID_0UA461R,12/20/10,12/19/11,Male,34,1,,,,CarSafe
ID_0UFGFKF,11/6/10,2/3/11,Male,45,1,,,,Car Classic
ID_0UGDAB5,1/31/10,1/30/11,Male,43,3,,Black,Honda,Customized Motor
ID_0UM7DYC,6/28/10,3/26/11,Male,52,1,JEEP,Black,Lexus,Car Classic
ID_0UM86EF,6/26/10,6/24/11,Female,64,3,JEEP,Black,TOYOTA,Car Plus
ID_0UMJ7FD,9/8/10,9/6/11,Male,42,1,,,,Car Classic
ID_0UNI23V,10/10/10,8/9/11,Male,40,1,Saloon,,Honda,Car Classic
ID_0UU93OQ,12/9/10,12/8/11,Male,48,1,,,,CVTP
ID_0UVUQ0H,5/23/10,5/22/11,Male,49,3,JEEP,Black,Lexus,Car Classic
ID_0UY25Z6,5/16/10,5/15/11,Female,34,1,Saloon,,TOYOTA,CarSafe
ID_0V08GID,11/8/10,2/6/11,Male,32,4,Saloon,Red,TOYOTA,Car Classic
ID_0V42RVF,5/28/10,5/27/11,Female,39,1,Mini Bus,,TOYOTA,Car Classic
ID_0V54ZUS,11/20/10,11/19/11,Male,56,1,,,,CarSafe
ID_0VFMRPN,1/29/10,1/28/11,Male,32,1,Saloon,Gold,Mercedes,Car Classic
ID_0VGE0AX,7/8/10,7/7/11,Male,49,1,,As Attached,BMW,Car Classic
ID_0VI206Q,1/25/10,1/24/11,Male,29,2,Saloon,,Hyundai,CarSafe
ID_0VLC38E,1/14/10,1/13/11,Male,40,1,Saloon,,Mercedes,Car Classic
ID_0VVGXYQ,8/15/10,8/14/11,Female,40,1,,,TOYOTA,Car Classic
ID_0VWCD6Q,5/7/10,5/6/11,Male,50,1,Saloon,,Ford,CarSafe
ID_0W3PCWB,11/2/10,11/1/11,Female,44,1,JEEP,White,TOYOTA,Car Classic
ID_0W87WW9,2/11/10,2/10/11,Male,35,1,Saloon,Silver,TOYOTA,Car Classic
ID_0WEHW04,9/6/10,9/5/11,Male,42,1,,,,Car Classic
ID_0WS77PQ,3/6/10,3/5/11,Male,49,1,Saloon,,TOYOTA,CarSafe
ID_0WXKWJL,5/17/10,5/16/11,Male,46,1,Saloon,Silver,TOYOTA,Car Classic
ID_0WXLOPZ,5/27/10,5/26/11,Female,12,3,,Green,TOYOTA,CVTP
ID_0X7JTGO,11/4/10,3/15/11,Male,46,4,Saloon,Black,Mercedes,Customized Motor
ID_0X9FT1B,8/2/10,1/23/11,Female,41,1,Saloon,Black,TOYOTA,Car Classic
ID_0XFNED2,11/25/10,11/24/11,Male,40,1,,,,CarSafe
ID_0XM5BHW,9/10/10,9/9/11,Male,40,1,,,,CarSafe
ID_0XX3E3J,4/10/10,4/9/11,Male,1,1,Saloon,,Mitsubishi,CarSafe
ID_0Y7FRB6,5/22/10,5/21/11,Female,34,1,JEEP,,Mercedes,Customized Motor
ID_0Y7RLXD,11/5/10,11/4/11,Male,35,1,JEEP,,TOYOTA,CarSafe
ID_0Y8AKVQ,5/4/10,5/3/11,Female,45,1,JEEP,Grey,Lexus,Car Classic
ID_0YNY8IT,1/14/10,1/13/11,Entity,40,4,Saloon,Black,Kia,Car Classic
ID_0YVNPAI,1/1/10,12/31/10,Joint Gender,44,1,Saloon,,Honda,Car Classic
ID_0Z2H7L4,8/8/10,3/16/11,Male,45,4,JEEP,,TOYOTA,Car Classic
ID_0Z8HNUO,1/6/10,1/5/11,Female,52,1,Saloon,,TOYOTA,Car Classic
ID_0ZD8TH2,4/25/10,4/24/11,Male,36,2,Saloon,Black,BMW,Car Plus
ID_0ZJ157M,3/12/10,3/11/11,Female,49,1,,,Ford,Car Classic
ID_0ZLSZ8B,9/3/10,3/5/11,Female,47,1,,,,Car Classic
ID_106PTHM,8/27/10,8/26/11,Male,43,1,,,,Car Classic
ID_106UX68,5/25/10,5/24/11,Male,38,1,Saloon,,Honda,CarSafe
ID_10AR7HG,3/30/10,3/29/11,Male,39,1,Saloon,,TOYOTA,CarSafe
ID_10DLB7Z,2/20/10,2/19/11,Male,36,1,JEEP,,Mercedes,CarSafe
ID_10FJB2M,10/23/10,10/22/11,Male,43,2,,As Attached,TOYOTA,Car Classic
ID_10KNNZ0,5/2/10,5/1/11,Male,49,1,Saloon,,Volvo,CarSafe
ID_10SVT4O,3/4/10,3/3/11,Female,65,1,Saloon,,TOYOTA,CarSafe
